sample,event_id,gate,category,loss
870,1034,27,1,1247943521.0
873,1038,10,1,1489502863.0
876,1039,51,3,5408493014.0
879,1041,3,1,1134494513.0
879,1040,9,3,5961674471.0
881,1042,51,3,5933701761.0
881,1043,13,3,8938953132.0
884,1044,39,2,2424371639.0
885,1047,14,1,773449963.0
885,1048,37,1,1361850958.0
886,1049,14,1,913967875.5
889,1051,12,1,451817329.2
889,1050,21,4,14948036345.0
889,1052,14,3,8938953132.0
890,1054,22,1,947222683.7
892,1056,51,3,8520916044.0
893,1057,1,1,723194588.2
900,1060,14,1,962611621.2
900,1059,2,1,902268909.4
904,1063,6,1,901765476.2
904,1061,1,1,852014220.7
906,1064,14,3,8938953132.0
907,1066,14,1,852807885.7
907,1065,15,1,703584428.8
908,1069,49,3,6613654285.0
908,1068,62,1,462562513.5
909,1071,11,1,361154290.8
910,1072,8,2,2424371639.0
912,1073,62,1,462562513.5
913,1075,12,1,604294700.3
913,1074,14,1,1289941312.0
917,1078,61,1,462562513.5
917,1077,53,1,1316785465.0
919,1079,52,1,592586803.9
921,1081,21,1,1624871268.0
921,1080,49,3,6613654285.0
922,1082,48,3,8097986358.0
924,1084,40,4,14853619650.0
925,1085,27,1,1205057041.0
926,1086,1,1,782716771.5
930,1089,53,2,4224952563.0
930,1091,1,1,702463290.2
930,1090,14,3,5030803098.0
932,1093,9,1,524354473.6
932,1094,10,1,922504532.1
933,1095,49,1,1312522552.0
935,1097,9,3,5961674471.0
937,1098,26,1,1205057041.0
937,1099,9,3,5961674471.0
939,1100,51,1,463677015.5
939,1102,29,1,821323293.5
940,1103,1,1,907308003.1
941,1104,61,2,3611421792.0
942,1106,51,1,596549520.0
942,1107,21,4,26234121822.0
944,1109,49,1,839055600.3
944,1108,21,3,6613654285.0
945,1111,15,1,1073166979.0
946,1112,50,1,795430630.9
948,1116,10,1,625477173.4
950,1119,11,2,2544197467.0
951,1120,21,1,1205057041.0
952,1121,20,3,6613654285.0
952,1122,1,3,5749773962.0
957,1124,27,1,1247943521.0
959,1126,14,3,5030803098.0
959,1125,2,3,5749773962.0
962,1127,51,1,485106113.1
963,1128,39,2,2424371639.0
964,1129,29,1,821323293.5
968,1131,12,1,770930851.3
968,1132,12,1,782980595.8
968,1134,9,1,524354473.6
969,1136,9,3,5961674471.0
970,1137,12,1,975434730.3
971,1139,18,3,7188343121.0
977,1143,20,4,26234121822.0
977,1142,49,3,6613654285.0
978,1144,58,1,775055478.6
979,1145,63,2,2733219431.0
980,1146,53,2,4224952563.0
982,1148,46,2,3450533798.0
983,1151,61,2,3611421792.0
983,1149,12,3,8126555557.0
983,1150,3,1,936492873.1
984,1152,15,3,8938953132.0
987,1153,10,1,1004968740.0
988,1154,49,3,6613654285.0
991,1157,58,1,775055478.6
995,1161,2,1,1046668496.0
995,1162,49,1,843124968.8
995,1159,21,1,1624871268.0
995,1160,20,4,26234121822.0
996,1165,10,1,948131628.0
996,1166,20,2,4661767010.0
996,1163,50,1,795430630.9
997,1167,12,1,1092663236.0
1000,1169,49,1,957590489.2
1001,1171,1,1,791479061.7
1001,1173,51,3,8049727302.0
1001,1170,1,3,5749773962.0
1001,1172,1,3,5749773962.0
1004,1177,62,1,462562513.5
1006,1178,1,1,759989031.3
1007,1179,1,1,838396601.1
1008,1180,12,3,5030803098.0
1009,1182,14,3,8938953132.0
1009,1181,37,1,1361850958.0
1009,1185,63,2,2733219431.0
1009,1184,13,3,5030803098.0
1009,1183,10,1,2025991709.0
1010,1186,46,2,3450533798.0
1011,1187,10,1,663100629.8
1012,1189,49,1,618701343.8
1012,1188,50,1,795430630.9
1015,1190,1,1,847373844.2
1019,1195,40,4,14853619650.0
1022,1197,25,1,785057726.5
1022,1198,15,1,1114039128.0
1023,1199,1,1,791706936.3
1024,1200,26,1,1205057041.0
1027,1202,50,1,795430630.9
1027,1203,22,1,947222683.7
1027,1204,26,1,785057726.5
1028,1205,49,3,6613654285.0
1030,1206,9,3,5961674471.0
1031,1207,12,1,837192312.9
1034,1208,48,3,8097986358.0
1035,1211,61,2,3611421792.0
1035,1210,58,1,775055478.6
1035,1209,18,3,7188343121.0
1037,1212,11,2,2544197467.0
1038,1214,2,1,1072561870.0
1041,1216,1,1,934021634.2
1042,1218,58,1,775055478.6
1044,1220,12,3,8126555557.0
1044,1221,9,3,5961674471.0
1045,1223,48,3,8097986358.0
1045,1222,40,4,14853619650.0
1047,1224,1,1,750939506.0
1048,1226,45,1,1119276599.0
1048,1227,10,1,1068917140.0
1048,1225,51,3,5025055839.0
1049,1228,20,2,4661767010.0
1049,1229,50,1,795430630.9
